Food_Entity_Name,Food_Entity_Number,Address,City,State,ZIP,Food_Entity_Type,Date_Inspected,Inspection_Summary,Address_Full,latitude,longitude
TARGET # 1518,282017,4750 MILLENIA PLAZA WAY,ORLANDO,FL,32839,Supermarket,43104,Re-Inspection Required,4750 MILLENIA PLAZA WAY ORLANDO FL 32839,28.493266,-81.4306696
WINN DIXIE # 2246,37468,1565 W ORANGE BLOSSOM TRL,APOPKA,FL,32712,Supermarket,43103,Met Inspection Requirements,1565 W ORANGE BLOSSOM TRL APOPKA FL 32712,28.6883162,-81.537103
BRAVO SUPERMARKET,291203,999 N SEMORAN BLVD,ORLANDO,FL,32807,Supermarket,43098,Re-Inspection Required,999 N SEMORAN BLVD ORLANDO FL 32807,28.5594181,-81.3097533
WINN DIXIE # 2276,39729,4686 E MICHIGAN ST,ORLANDO,FL,32812,Supermarket,43096,Met Inspection Requirements,4686 E MICHIGAN ST ORLANDO FL 32812,28.5126716,-81.3283391
ALDI # 0015,354038,10537 E COLONIAL DR,ORLANDO,FL,32817,Supermarket,43076,Met Inspection Requirements,10537 E COLONIAL DR ORLANDO FL 32817,28.5712276,-81.2331953
PUBLIX # 0741,265788,7640 W SAND LAKE RD,ORLANDO,FL,32819,Supermarket,43074,Met Inspection Requirements,7640 W SAND LAKE RD ORLANDO FL 32819,28.4485813,-81.4864729
SEDANOS SUPERMARKET # 0040,335123,12981 S ORANGE BLOSSOM TRL,ORLANDO,FL,32837,Supermarket,43066,Met Inspection Requirements,12981 S ORANGE BLOSSOM TRL ORLANDO FL 32837,28.3773187,-81.403377
PUBLIX # 0605,250542,5265 S JOHN YOUNG PKWY,ORLANDO,FL,32839,Supermarket,43026,Met Inspection Requirements,5265 S JOHN YOUNG PKWY ORLANDO FL 32839,28.4876987,-81.4151081
WALMART #1220 (MAIN),270902,2500 S KIRKMAN RD,ORLANDO,FL,32811,Supermarket,42976,Met Inspection Requirements,2500 S KIRKMAN RD ORLANDO FL 32811,28.5152545,-81.4628188
PUBLIX #1567,379765,5400 HAMLIN GROVES TRAIL,WINTER GARDEN,FL,34787,Supermarket,42975,Met Inspection Requirements,5400 HAMLIN GROVES TRAIL WINTER GARDEN FL 34787,28.4685357,-81.6280776
ALDI # 0022,338847,7031 NARCOOSSEE RD,ORLANDO,FL,32822,Supermarket,42971,Met Inspection Requirements,7031 NARCOOSSEE RD ORLANDO FL 32822,28.4643179,-81.2735633
PUBLIX # 1092,296432,3400 AVALON PARK EAST BLVD,ORLANDO,FL,32828,Supermarket,42969,Met Inspection Requirements,3400 AVALON PARK EAST BLVD ORLANDO FL 32828,28.5142884,-81.1542711
1ST SPRING SUPERMARKET LLC,365289,10681 E COLONIAL DR,ORLANDO,FL,32817,Supermarket,42965,Met Inspection Requirements,10681 E COLONIAL DR ORLANDO FL 32817,28.5711362,-81.230483
SEDANO'S SUPERMARKET # 0041,335170,5660 CURRY FORD RD,ORLANDO,FL,32822,Supermarket,42964,Met Inspection Requirements,5660 CURRY FORD RD ORLANDO FL 32822,28.522128,-81.3113305
IFRESH E COLONIAL INC,379503,2415 E COLONIAL DR,ORLANDO,FL,32803,Supermarket,42955,Met Inspection Requirements with Check-Back,2415 E COLONIAL DR ORLANDO FL 32803,28.5538374,-81.351459
SAM'S CLUB # 6212,256265,7701 E COLONIAL DR,ORLANDO,FL,32807,Supermarket,42951,Met Inspection Requirements,7701 E COLONIAL DR ORLANDO FL 32807,28.5699995,-81.2842918
PUBLIX # 1396,347790,7880 WINTER GARDEN VINELAND RD,WINDERMERE,FL,34786,Supermarket,42948,Met Inspection Requirements,7880 WINTER GARDEN VINELAND RD WINDERMERE FL 34786,28.446459,-81.5612985
WOO-SUNG ORIENTAL FOOD MART,104054,5075 EDGEWATER DR,ORLANDO,FL,32810,Supermarket,42948,Met Inspection Requirements,5075 EDGEWATER DR ORLANDO FL 32810,28.6067488,-81.4085409
PUBLIX # 0812,277315,8145 VINELAND AVE,ORLANDO,FL,32821,Supermarket,42928,Met Inspection Requirements,8145 VINELAND AVE ORLANDO FL 32821,28.3870217,-81.4856425
