GEO_ID,B01003_001E,B01003_001M,B11016_001E,B11016_001M,B19025_001E,B19025_001M,NAME,GEO_ID,state,county,tract
12095018800,3889,420,2033,163,170532000,27726344,"Census Tract 188, Orange County, Florida",1400000US12095018800,12,095,018800
12095018900,7703,824,3832,287,233883400,32563259,"Census Tract 189, Orange County, Florida",1400000US12095018900,12,095,018900
12095018200,11100,1226,4655,349,460945800,53513363,"Census Tract 182, Orange County, Florida",1400000US12095018200,12,095,018200
12095013701,4972,555,2215,137,97361300,13410496,"Census Tract 137.01, Orange County, Florida",1400000US12095013701,12,095,013701
12095012306,3480,372,1055,57,57685300,8835708,"Census Tract 123.06, Orange County, Florida",1400000US12095012306,12,095,012306
12095014000,6223,477,2572,167,261508600,35265587,"Census Tract 140, Orange County, Florida",1400000US12095014000,12,095,014000
12095014302,6030,588,1779,108,81256000,16651925,"Census Tract 143.02, Orange County, Florida",1400000US12095014302,12,095,014302
12095012600,5307,692,2166,149,269854000,59386516,"Census Tract 126, Orange County, Florida",1400000US12095012600,12,095,012600
12095014704,13168,1202,5506,343,309304500,42634282,"Census Tract 147.04, Orange County, Florida",1400000US12095014704,12,095,014704
12095015201,8610,854,3583,226,237754000,37176176,"Census Tract 152.01, Orange County, Florida",1400000US12095015201,12,095,015201
12095016716,5343,338,1959,91,208809300,25427843,"Census Tract 167.16, Orange County, Florida",1400000US12095016716,12,095,016716
12095015103,6636,626,2430,155,138827800,15776058,"Census Tract 151.03, Orange County, Florida",1400000US12095015103,12,095,015103
12095016411,3127,419,1321,132,80715100,15702456,"Census Tract 164.11, Orange County, Florida",1400000US12095016411,12,095,016411
12095017600,4423,564,1577,119,58752600,9222958,"Census Tract 176, Orange County, Florida",1400000US12095017600,12,095,017600
12095017701,5936,632,1707,118,121901400,13578421,"Census Tract 177.01, Orange County, Florida",1400000US12095017701,12,095,017701
12095013604,6091,894,2631,219,152005500,19176913,"Census Tract 136.04, Orange County, Florida",1400000US12095013604,12,095,013604
12095014605,4670,524,1579,86,85838400,26070862,"Census Tract 146.05, Orange County, Florida",1400000US12095014605,12,095,014605
12095012000,7962,777,2313,126,96595200,14548833,"Census Tract 120, Orange County, Florida",1400000US12095012000,12,095,012000
12095013403,3711,442,1147,83,49791300,5999047,"Census Tract 134.03, Orange County, Florida",1400000US12095013403,12,095,013403
12095015701,1947,182,962,85,99276300,13552452,"Census Tract 157.01, Orange County, Florida",1400000US12095015701,12,095,015701
12095016709,7934,954,2334,100,118468000,15504376,"Census Tract 167.09, Orange County, Florida",1400000US12095016709,12,095,016709
12095014908,7579,725,2180,93,112915200,11901167,"Census Tract 149.08, Orange County, Florida",1400000US12095014908,12,095,014908
12095014909,3373,268,987,47,73333200,10565462,"Census Tract 149.09, Orange County, Florida",1400000US12095014909,12,095,014909
